CODIGO;NOMBRE;CREDITOS;ESCUELA;AREA;PREREQUISITO;POSTREQUISITO;CATEGORIA;LABORATORIO;RESTRICCION;SEMESTRE
17;Social Humanistica 1;4;Ciencias;Social Humanistica;0;19;Obligatoria;No;0;1
101;Matematica Basica 1;7;Ciencias;Matematica Basica;0;103;Obligatoria;No;0;1
69;Tecnica Complementaria;3;Ciencias;Tecnica Complementaria;0;0;Obligatoria;No;0;1
39;Deportes 1;1;Ciencias;Deportes;0;0;Opcional;No;0;1
348;Quimica General 1;3;Ciencias;Quimica;0;0;Obligatoria;Si;0;1
6;Idioma Tecnico 1;2;Ciencias;Idioma Tecnico;0;8;Obligatoria;No;0;1
19;Social Humanistica 2;4;Ciencias;Social Humanistica;17;10, 18;Obligatoria;No;0;2
103;Matematica Basica 2;7;Ciencias;Matematica Basica;101;107;Obligatoria;No;0;2
5;Tecnicas de Estudio Y de Investigacion;3;Ciencias;Planificacion;0;0;Obligatoria;No;0;2
147;Fisica Basica;5;Ciencias;Fisica;0;150;Obligatoria;Si;0;2
40;Deportes 2;1;Ciencias;Deportes;39;0;Opcional;No;0;2
8;Idioma Tecnico 2;2;Ciencias;Idioma Tecnico;6;9;Obligatoria;No;0;2
795;Logica de Sistemas;2;Ciencias y Sistemas;Metodologia de Sistemas;103;796, 962, 771;Obligatoria;No;33;3
960;Matematica para Computacion 1;5;Ciencias;Matematica Basica;103;796, 962, 771;Obligatoria;No;33;3
770;Introduccion a la Programacion y Computacion 1;4;Ciencias y Sistemas;Desarrollo de Software;103;796, 962, 771;Obligatoria;Si;33;3
107;Matematica Intermedia 1;10;Ciencias;Matematica Basica;103;732, 771, 112, 114, 152;Obligatoria;No;0;3
150;Fisica 1;6;Ciencias;Fisica;103, 147;152;Obligatoria;Si;0;3
9;Idioma Tecnico 3;2;Ciencias;Idioma Tecnico;8;11;Obligatoria;No;0;3
732;Estadistica 1;5;Ciencias;Estadistica;107, 5;736, 14, 601, 722, 734, 700;Obligatoria;No;0;4
796;Lenguajes Formales y de Programacion;3;Ciencias y Sistemas;Ciencias de la Computacion;770, 795, 960;777, 772, 778, 773;Obligatoria;Si;0;4
962;Matematica para Computacion 2;5;Ciencias y Sistemas;Matematica Basica;770, 795, 960;777, 772, 964;Obligatoria;No;0;4
771;Introduccion a la Programacion y Computacion 2;5;Ciencias y Sistemas;Desarrollo de Software;770, 795, 960, 107;777, 772, 964;Obligatoria;Si;0;4
10;Logica;2;Ciencias;Social Humanistica;19;18;Opcional;No;0;4
112;Matematica Intermedia 2;5;Ciencias;Matematica Basica;107;116, 118;Obligatoria;No;0;4
114;Matematica Intermedia 3;5;Ciencias;Matematica Basica;107;116, 118;Obligatoria;No;0;4
152;Fisica 2;6;Ciencias;Fisica;107, 150;964, 368;Obligatoria;Si;0;4
11;Idioma Tecnico 4;2;Ciencias;Idioma Tecnico;9;0;Obligatoria;No;0;4
2025;Practica Inicial;0;Ciencias y Sistemas;EPS;103, 770;2036;Obligatoria;No;0;4
