CODIGO;NOMBRE;CREDITOS;AREA;CATEGORIA;LABORATORIO;RESTRICCION
348;Qu¡mica General;3;Qu¡mica General;Obligatoria;Si;0
101;Mate Basica 1;7;Mat‚matica B sica;Obligatoria;No;0
69;T‚cnica Complementaria 1;3;T‚cnica Complementaria;Obligatoria;No;0
39;Deportes 1;1;Deportes;Opcional;No;0
17;Social Humanistica 1;4;Social Humanistica;Obligatoria;No;0
6;Idioma T‚cnico 1;2;Idioma T‚cnico;Obligatoria;No;0
5;T‚cnicas de Estudio y de Investigaci¢n;3;Planificaci¢n;Obligatoria;No;0
103;Mate Basica 2;7;Mat‚matica B sica;Obligatoria;No;0
147;F¡sica B sica;5;F¡sica;Obligatoria;Si;0
40;Deportes 2;1;Deportes;Opcional;No;0
19;Social Humanistica 2;4;Social Humanistica;Obligatoria;No;0
8;Idioma T‚cnico 2;2;Idioma T‚cnico;Obligatoria;No;0
352;Qu¡mica 2;4;Qu¡mica General;Opcional;Si;0
107;Mate Intermedia 1;10;Departamento de Matem tica ;Obligatoria;No;0
150;F¡sica 1;6;Depto. de F¡sica;Obligatoria;Si;0
18;Filosof¡a de la Ciencia;3;Social Humanistica;Opcional;No;0
9;Idioma T‚cnico 3;2;Idioma T‚cnico;Obligatoria;No;0
2025;Pr ctica Inicial;0;EPS;Obligatoria;No;0
608;Introducci¢n a Proyectos Gerenciales;6;M‚todos Cuantitativos;Opcional;No;0
73;Dibujo T‚cnico Mec nico;3;Complementaria;Obligatoria;Si;60
732;Estad¡stica 1;5;Estadistica;Obligatoria;No;0
170;Mec nica Anal¡tica 1;5;Depto. de F¡sica;Obligatoria;Si;0
112;Mate Intermedia 2;5;Departamento de Matem tica;Obligatoria;No;0
114;Mate Intermedia 3;5;Departamento de Matem tica;Obligatoria;No;0
152;F¡sica 2;6;Depto. de F¡sica;Obligatoria;Si;0
11;Idioma T‚cnico 4;2;Idioma T‚cnico;Obligatoria;No;0
22;Psicolog¡a Industrial;3;Administrativa;Obligatoria;No;90
650;Contabilidad 1;3;Administrativa;Obligatoria;Si;90
662;Legislaci¢n 1;3;Administrativa;Obligatoria;No;90
368;Principios de Metrolog¡a;3;Qu¡mica;Opcional;No;0
90;Programaci¢n de Computadoras 1;3;Programaci¢n;Obligatoria;No;0
734;Estad¡stica 2;5;Estadistica;Obligatoria;No;0
474;Introducci¢n a la Ingenier¡a Petrolera;3;Pregrado;Opcional;No;90
250;Mec nica de Fluidos;6;Hidra£lica;Obligatoria;No;0
300;Resistencia de Materiales;5;Estructuras;Obligatoria;Si;0
452;Ciencia de los Materiales;5;Materiales;Obligatoria;No;0
172;Mec nica Anal¡tica 2;5;F¡sica;Opcional;No;0
116;Mate Aplicada 3;5;Departamento de Matem tica;Obligatoria;No;0
118;Mate Aplicada 1;6;Departamento de Matem tica;Opcional;No;0
28;Ecolog¡a;3;Qu¡mica;Obligatoria;No;90
700;Ingenier¡a Econ¢mica 1;5;Planeamiento;Obligatoria;No;0
200;Ing. El‚ctrica 1;5;Ciencias Basicas y El‚ctronica;Obligatoria;Si;0
660;Mercadotecnia 1;3;Administrativa;Obligatorio;No;0
658;Administraci¢n de Personal;3;Administrativa;Obligatorio;Si;0
652;Contabilidad 2;3;Administrativa;Obligatorio;Si;0
664;Legislacion 2;3;Administrativa;Obligatorio;No;0
632;Ingenieria de Plantas;5;Producci¢n;Obligatorio;Si;0
601;Investigaci¢n de Operaciones 1;5;M‚todos Cuantitativos;Obligatorio;Si;0
92;Programaci¢n de Computadoras 2 ;4;Programaci¢n;Obligatorio;Si;0
390;Termodinamica 1;5;Termica;Obligatorio;Si;0
520;Procesos de Manufactura 1;3;Materiales para Ingenieria;Obligatorio;Si;0
202;Ingenieria Electrica 2;6;Ciencias B sicas y Electrotecnia;Obligatorio;Si;0
454;Metalurgia y Metalografia;6;Materiales para Ingenieria;Opcional;Si;0
14;Econom¡a 1 ;4;Metodolog¡a de Sistemas;Opcional;No;0
302;Resistencia de Materiales 2;5;Estructuras;Opcional;Si;0
122;Matematica Aplicada 4;4;Departamento de Matem tica;Opcional;No;0
702;Ingenieria Economica 2;5;Planeamiento;Opcional;Si;0
669;Economia Industrial;3;Administrativa;Opcional;No;0
661;Mercadotecnia 2;3;Administrativa;Opcional;Si;0
656;Administraci¢n de Empresas 1;5;Administrativa;Obligatorio;Si;150
665;Microeconomia;3;Administrativa;Obligatorio;Si;0
654;Contabilidad 3;3;Administrativa;Obligatorio;Si;0
634;Ingenieria de Metodos;6;Administrativa;Obligatorio;Si;0
642;Seguridad e Higiene Industrial;3;Producci¢n;Obligatorio;Si;0
